pair_ID,sentence_A,sentence_B,relatedness_score,cosine_similarity_BERT,jaccard_similarity_BERT,B_no_stopwords_cosine_BERT,B_no_stopwords_jaccard_BERT
44,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,0.9750000000000001,0.9834466,0.49866716798983124,0.97598195,0.552637092769146
45,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,0.725,0.5885656,0.5100578784942627,0.5856792,0.5635550127309912
46,Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,0.725,0.6879071,0.3782587945461273,0.6883563,0.4390998272334828
47,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,0.60375,0.34762654,0.3644693522226243,0.6883563,0.4390998272334828
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,0.675,0.5785891,0.32521074016888935,0.5777062,0.3951641400655111
49,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,0.675,0.56075156,0.346080282330513,0.6719527,0.44022395834326744
50,Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,0.65,0.66984206,0.4023896336555481,0.66986954,0.4754221614669351
51,Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,0.725,0.69366765,0.400012427254727,0.6971929,0.47427522763609886
52,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,0.9750000000000001,0.9971875,0.49913597106933594,0.9549384,0.6001743759427752
53,Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,0.75,0.41955602,0.4746296140882704,0.5465078,0.5554360789912087
54,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,0.725,0.96911454,0.478497627708647,0.96040004,0.5628057916959127
55,Three boys are jumping in the leaves,Three kids are jumping in the leaves,0.8500000000000001,0.8968226,0.4845978191920689,0.868844,0.5813099471005526
56,Three kids are sitting in the leaves,Three kids are jumping in the leaves,0.7,0.6357932,0.4640202011380877,0.5834201,0.5552302111278881
57,Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,0.7749999999999999,0.7417489,0.32209891080856323,0.65222716,0.40753379960854846
58,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,0.625,0.5861473,0.40827859938144684,0.55744106,0.46223850892140317
59,Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,0.725,0.7985599,0.4179787412285805,0.75784594,0.4743066154993497
60,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,0.525,0.21496987,0.4252247139811516,0.15306133,0.4801749082712027
61,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,0.725,0.74953055,0.4026496969163418,0.70950687,0.47110055960141695
62,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,0.75,0.79959154,0.421000387519598,0.7582748,0.4778694006112906
63,Two children are lying in the snow and are drawing angels,Two children are lying in the snow and are making snow angels,0.8500000000000001,0.91316897,0.46366521845693176,0.89003175,0.5687803328037262
64,Two children are lying in the snow and are making snow angels,There is no child lying in the snow and making snow angels,0.7,0.5777766,0.44608112672964734,0.95905864,0.5816466675864326
65,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,0.475,0.85466135,0.3956313133239746,0.8684529,0.5230435580015182
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.95,0.9477124,0.4401296526193619,0.9582131,0.5273693618567094
67,Two people in snowsuits are lying in the snow and making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,0.7749999999999999,0.67161727,0.4677421861681445,0.6975393,0.5411971012751261
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,0.8999999999999999,0.87995684,0.4262381505966186,0.8137378,0.4744837771762501
69,Two children are lying in the snow and are making snow angels,Nobody in snowsuits is lying in the snow and making snow angels,0.65,0.6038593,0.38994943407865673,0.6347739,0.4702115569795881
70,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,0.7749999999999999,0.85020566,0.37641207529948306,0.8173124,0.4517138117835635
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.575,0.61523914,0.377411096184342,0.6287919,0.45135668461973016
72,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,0.375,0.83798456,0.5395419423778852,0.87798744,0.6143976478349595
73,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,0.8,0.94424486,0.41302877223050155,0.9130897,0.4891320819204504
74,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,0.925,0.9934106,0.47832055389881134,0.8751958,0.5786266326904297
75,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,0.7,0.79857814,0.4712918698787689,0.65509796,0.5841487805048625
76,A little girl is looking at a woman in costume,A little girl in costume looks like a woman,0.475,0.8882996,0.4879427677706668,0.8476522,0.5529279261827469
77,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,0.8500000000000001,0.891779,0.5011335920404505,0.72510374,0.5716408689816793
78,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,0.55,0.8180724,0.4664661943912506,0.7147809,0.5547677427530289
79,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,0.65875,0.8687082,0.415697889081363,0.85644567,0.5644058954148066
80,Masked people are looking in the same direction in a forest,A little girl is looking at a woman in costume,0.07500000000000001,0.19772194,0.3525878163901242,0.23445371,0.44261670112609863
81,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,0.35,0.23200554,0.27453481674194335,0.21732476,0.34538793250134114
82,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,0.4,0.44582385,0.30294743676980335,0.3765278,0.4028370415463167
83,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0.30000000000000004,0.29789433,0.2696832489967346,0.30690807,0.39570075273513794
84,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,0.5,0.32518113,0.4291167140007019,0.30715066,0.5113518565893174
85,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,0.25,0.28226826,0.4210913156469663,0.25046316,0.4512225871994382
86,A little girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0.4,0.28718573,0.27755398988723756,0.29474318,0.4044470822109896
87,A lone biker is jumping in the air,"A biker is jumping in the air, alone",1.0,0.96086764,0.45345025553422813,0.93968487,0.5513569575089675
88,There is no biker jumping in the air,A lone biker is jumping in the air,0.8,0.69054425,0.4456525966525078,0.7079282,0.5495214064915975
89,A man is jumping into an empty swimming pool,A man is jumping into an empty pool,0.95,0.98262215,0.5230937600135803,0.8763099,0.6154105892548194
90,A man is jumping into an empty pool,A man is jumping into a full pool,0.5,0.7956968,0.47017329931259155,0.7416391,0.5738783329725266
91,A man is jumping into an empty pool,The man's jumper is in the empty pool,0.525,0.8512176,0.38913478122817147,0.7437096,0.47114152141979765
92,A lone biker is jumping in the air,A man is jumping into an empty swimming pool,0.15000000000000002,0.4508071,0.29635021616430846,0.5691987,0.38197470628298247
93,A lone biker is jumping in the air,A man is jumping into a full pool,0.175,0.3165016,0.3072422482073307,0.3874835,0.4101106971502304
94,The man's jumper is in the empty pool,A lone biker is jumping in the air,0.09999999999999998,0.39126647,0.3730340268876817,0.3984494,0.45528712017195566
95,A man is jumping into an empty pool,"A biker is jumping in the air, alone",0.15000000000000002,0.5188173,0.2936902677311617,0.46302503,0.3604966631302467
96,A man is jumping into an empty pool,There is no biker jumping in the air,0.04999999999999999,0.42027617,0.3009623661637306,0.21298955,0.40025757117704913
97,A lone biker is jumping in the air,A man is jumping into an empty pool,0.125,0.49144876,0.317839365452528,0.60851485,0.4220451166232427
98,Four kids are doing backbends in the park,Four children are doing backbends in the park,0.95,0.9967703,0.49914929270744324,0.8539132,0.5637863539159298
99,Four children are doing backbends in the gym,Four children are doing backbends in the park,0.7,0.77578235,0.4468049108982086,0.5459269,0.5067219063639641
100,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,0.7749999999999999,0.93513316,0.5087709887461229,0.8783309,0.5601913740760401
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,0.75,0.7910639,0.4851318597793579,0.7019967,0.5448043100974139
102,Four girls are doing backbends and playing in the garden,Four children are doing backbends in the park,0.675,0.8031057,0.4833238883451982,0.6338153,0.5179799629582299
103,Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,0.675,0.56747067,0.4219362258911133,0.41369802,0.4674862250685692
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,0.825,0.75972104,0.41299064755439757,0.7139296,0.47372265773661
105,Four children are doing backbends in the gym,Four girls are doing backbends and playing outdoors,0.7,0.6532855,0.42377845048904417,0.5988891,0.48592279588474946
106,Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,0.7749999999999999,0.76460433,0.42277690172195437,0.6312611,0.47007253021001816
107,A man who is playing is running with the ball in his hands,A player is running with the ball,0.825,0.9267559,0.5361829429864884,0.877501,0.5979910902678967
108,A player is throwing the ball,A player is running with the ball,0.625,0.80108714,0.42744406370016247,0.78284395,0.5865601499875387
109,Two groups of people are playing football,Two teams are competing in a football match,0.925,0.88525426,0.405912184715271,0.87788606,0.49616527060667676
110,Two teams are competing in a football match,Two teams are competing in a baseball game,0.725,0.47546574,0.44349947199225426,0.45344555,0.5096755348719083
111,Two teams are competing in a football match,Football is being played by two competing teams,0.95,0.93575084,0.45180799812078476,0.90607953,0.5460772560192988
112,Two groups of people are playing football,A player is running with the ball,0.275,0.6769243,0.29168211988040377,0.6624168,0.36751708984375
113,Two teams are competing in a baseball game,A player is running with the ball,0.5,0.42352572,0.3023995836575826,0.39127705,0.3498111909086054
114,A player is running with the ball,Football is being played by two competing teams,0.5,0.5488643,0.29771629969278973,0.5090617,0.35323860744635266
115,Two teams are competing in a football match,A man who is playing is running with the ball in his hands,0.42500000000000004,0.5965297,0.22338347207932246,0.5641814,0.30827492475509644
116,A player is throwing the ball,Two teams are competing in a football match,0.475,0.4198581,0.24912857583590917,0.4380684,0.3234474713152105
117,A player is running with the ball,Two teams are competing in a football match,0.4,0.5624413,0.2794039924939474,0.58779323,0.3570809413989385
118,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,0.95,0.9644655,0.44968815554272046,0.8419386,0.5502005184397978
119,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,0.8,0.9406236,0.5264206727345785,0.9667218,0.5960198044776917
120,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,0.55,0.8764928,0.4861696335402402,0.8903221,0.5705688496430715
121,Five kids are standing close together and one kid has a gun,Five kids are standing close together and one kid has a weapon,0.95,0.94229925,0.4929743781685829,0.9018273,0.5533621340990067
122,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,0.675,0.61373913,0.4408625593552223,0.65784824,0.5345567673444748
123,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a weapon,0.44999999999999996,0.7301606,0.35181680050763214,0.75650966,0.43477094173431396
124,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,0.4,0.5446161,0.4334276889761289,0.54692656,0.4856905609369278
125,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,0.5,0.6616711,0.3834783509373665,0.6825927,0.46746228635311127
126,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,0.42500000000000004,0.63120794,0.3101683914661407,0.6549647,0.3962302692234516
127,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,0.32499999999999996,0.6056901,0.3632611980040868,0.63775516,0.4376931548118591
128,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,0.32499999999999996,0.6897975,0.3515884551134976,0.72026426,0.4383313324716356
129,An old man is sitting in a field,A man is sitting in a field,0.8500000000000001,0.91722715,0.4686813116073608,0.8932322,0.5661853172562339
130,A man is sitting in a field,A man is running in a field,0.4,0.39838362,0.4446128266198294,0.3641876,0.5375788867473602
131,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,0.7749999999999999,0.96084434,0.4742945109804471,0.9342668,0.6015022887903101
132,A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,0.575,0.40310764,0.4656504566470782,0.9725808,0.636907135739046
133,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,0.6,0.96910214,0.4128602317401341,0.9772178,0.5922007986477443
134,A person is sitting in a field and is wearing a hat,A man is sitting in a field,0.75,0.85124743,0.5369990656250402,0.8215399,0.5927895744641621
135,A man is sitting in a field,There is no person wearing a hat and sitting on the grass,0.42500000000000004,0.424629,0.2572706937789917,0.7654737,0.4421679625908534
136,A person is sitting and wearing a grass hat,A man is sitting in a field,0.575,0.7791245,0.4538491480052471,0.7824472,0.5468821823596954
137,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,0.44999999999999996,0.6852188,0.30783566534519197,0.66836417,0.44966190594893235
138,A person is wearing a hat and is sitting on the grass,A man is running in a field,0.09999999999999998,0.29531455,0.4350882894114444,0.27485564,0.47756889661153157
139,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,0.7,0.7874795,0.29699641466140747,0.7654737,0.4421679625908534
140,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,0.9750000000000001,0.9775349,0.533599259853363,0.9541695,0.6571163378263775
141,A group of friends are riding the current in a raft,A group is not riding the current in a raft,0.675,0.4475478,0.4655575468426659,0.85697556,0.5979579567909241
142,This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,0.9750000000000001,0.9537739,0.39326102645308886,0.9394958,0.5345766007900238
143,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,0.6,0.29345864,0.3774905630520412,0.30324408,0.44975068288690906
144,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,0.475,0.5144775,0.31362762588721055,0.50454295,0.40819866406290156
145,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,0.30000000000000004,0.21862428,0.2487036868929863,0.21398365,0.32711402007511686
146,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,0.55,0.48712784,0.36880202476794904,0.503162,0.43533831292932684
147,A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,0.44999999999999996,0.30260307,0.31539600545709784,0.34018877,0.38913927806748283
148,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,0.525,0.46092457,0.33331999830577685,0.4758757,0.40558831629000214
149,A deer is jumping over a fence,A deer is jumping over the enclosure,0.88375,0.9722633,0.47855277572359356,0.9081433,0.5534343779087066
150,A deer is jumping over a fence,A deer isn't jumping over the fence,0.725,0.5271287,0.42177366092801094,0.9530531,0.5978912830352783
151,A wild deer is jumping a fence,A deer is jumping a fence,0.95,0.94161123,0.5046023772313044,0.89609444,0.6050270199775696
152,A deer is jumping a fence,There is no deer jumping fences,0.7749999999999999,0.40167934,0.40028516145852894,0.96326363,0.5462991118431091
153,A wild deer is jumping a fence,A deer is jumping over a fence,0.875,0.93540037,0.4563691871506827,0.89609444,0.6050270199775696
154,There is no deer jumping fences,A deer is jumping over a fence,0.42125,0.38036972,0.40608373284339905,0.39929932,0.5832267105579376
155,A deer is jumping over the enclosure,A deer is jumping a fence,0.8,0.9472605,0.5116417958186223,0.9167241,0.6048036873340606
156,A deer is jumping a fence,A deer isn't jumping over the fence,0.6375,0.5158734,0.3769864678382874,0.9670485,0.606350925233629
157,A deer is jumping over a fence,A deer is jumping a fence,0.9750000000000001,0.98141617,0.521536648273468,0.9530531,0.5978912830352783
158,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,0.925,0.9867185,0.4928517181139726,0.8340422,0.5859312266111374
159,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,0.6,0.7036016,0.4814414129807399,0.59441555,0.5661953866481781
160,Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,0.925,0.90980625,0.5572509277950634,0.8376399,0.632226245270835
161,Several people are in front of a colorful building,Nobody is in front of the colorful building,0.625,0.23363894,0.45955317160662484,0.19109824,0.5633643086139972
162,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,0.7,0.7083105,0.4027907366936023,0.54363096,0.49646013379096987
163,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,0.65,0.30533752,0.43919457140423,0.26206106,0.508510172367096
164,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,0.65,0.73394835,0.46845595132220874,0.72781646,0.5345137649112277
165,Several people are in front of a colorful building,People are walking inside a building that has many murals on it,0.6,0.48942918,0.31642328338189557,0.40123826,0.43863673880696297
166,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,0.675,0.7512326,0.46603012355891144,0.7469468,0.5279664728376601
167,A boy is hitting a baseball,A child is hitting a baseball,0.8500000000000001,0.93802416,0.4828668882449468,0.9235896,0.6074394120110406
168,A child is hitting a baseball,A child is missing a baseball,0.7,0.5607405,0.46805300811926526,0.5097308,0.588138739267985
169,A family is watching a little boy who is hitting a baseball,A family is watching a boy who is hitting a baseball,0.8999999999999999,0.9953179,0.5136081602262415,0.9737505,0.6496437998378978
170,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,0.725,0.8252946,0.48443259050448734,0.76546204,0.616585738129086
171,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,0.675,0.9806515,0.4912036384145419,0.9646683,0.630624814165963
172,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,0.675,0.7916384,0.5330485140576082,0.8017661,0.6072079581873757
173,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,0.50375,0.5248068,0.2692125406530168,0.4537969,0.417242834965388
174,A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,0.675,0.7792737,0.5483315520816379,0.790982,0.6177953124046326
175,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,0.8,0.8607611,0.5296635561519198,0.8616506,0.5865500688552856
176,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,0.42500000000000004,0.5595428,0.26837164494726395,0.5565626,0.4065694163242976
177,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,0.7749999999999999,0.8122175,0.5402810341782041,0.8237461,0.6059722979863484
178,A large group of Asian people is eating at a restaurant,A group of people from Asia is eating at a restaurant,0.95,0.95220006,0.4733759489926425,0.8963766,0.5702393762767315
179,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,0.6,0.7994907,0.3863350360289864,0.7693411,0.48837755006902356
180,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,0.625,0.9907043,0.481775164604187,0.95158595,0.5739832520484924
181,Various people are eating at red tables in a crowded restaurant with purple lights,Various customers are eating in a crowded restaurant with purple lights,0.8999999999999999,0.897598,0.5042202758789063,0.8483173,0.5734609053248451
182,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,0.55,0.8100486,0.41932702981508696,0.75346965,0.4889958444095793
183,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,0.575,0.9650307,0.4538762260366369,0.9512298,0.5494090643796053
184,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,0.475,0.9001037,0.34120154651728546,0.8104542,0.4187697536415524
185,Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,0.4,0.7327082,0.36515441407328064,0.71779203,0.425418174929089
186,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,0.525,0.85200727,0.382319375872612,0.8253758,0.46369214748081405
187,A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,0.5,0.7618696,0.2994500160217285,0.68491423,0.36398100554943086
188,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,0.55,0.61442256,0.3785289915708395,0.5874722,0.4629621833562851
189,A group of people in a large Asian restaurant is eating,Various people are eating at red tables in a crowded restaurant with purple lights,0.575,0.85232663,0.30653833627700805,0.7745733,0.373674738407135
190,A large group of Asian people is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,0.575,0.8534069,0.3018678903579712,0.7755463,0.37371529042720797
191,A motorcycle rider is standing up on the seat of a white motorcycle,A motorcycle is riding standing up on the seat of the vehicle,0.7749999999999999,0.8353925,0.450085928440094,0.7288408,0.5715199046664767
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,0.7,0.56210095,0.46428723335266114,0.7850552,0.585731930202908
193,Someone is on a black and white motorcycle and is standing on the seat,A rider is on a black and white bike and is standing on the seat,0.8999999999999999,0.9106381,0.4486930103137575,0.75461453,0.5451426446437836
194,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,0.675,0.34674174,0.38860594749450683,0.29336315,0.509447504492367
