pair_ID,sentence_A,sentence_B,relatedness_score,cosine_similarity_BERT
94,The man's jumper is in the empty pool,A lone biker is jumping in the air,0.09999999999999998,0.39126647
95,A man is jumping into an empty pool,"A biker is jumping in the air, alone",0.15000000000000002,0.5188173
96,A man is jumping into an empty pool,There is no biker jumping in the air,0.04999999999999999,0.42027617
97,A lone biker is jumping in the air,A man is jumping into an empty pool,0.125,0.49144876
98,Four kids are doing backbends in the park,Four children are doing backbends in the park,0.95,0.9967703
99,Four children are doing backbends in the gym,Four children are doing backbends in the park,0.7,0.77578235
100,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,0.7749999999999999,0.93513316
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,0.75,0.7910639
102,Four girls are doing backbends and playing in the garden,Four children are doing backbends in the park,0.675,0.8031057
103,Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,0.675,0.56747067
104,Four kids are doing backbends in the park,Four girls are doing backbends and playing outdoors,0.825,0.75972104
105,Four children are doing backbends in the gym,Four girls are doing backbends and playing outdoors,0.7,0.6532855
106,Four girls are doing backbends and playing outdoors,Four children are doing backbends in the park,0.7749999999999999,0.76460433
107,A man who is playing is running with the ball in his hands,A player is running with the ball,0.825,0.9267559
108,A player is throwing the ball,A player is running with the ball,0.625,0.80108714
109,Two groups of people are playing football,Two teams are competing in a football match,0.925,0.88525426
110,Two teams are competing in a football match,Two teams are competing in a baseball game,0.725,0.47546574
111,Two teams are competing in a football match,Football is being played by two competing teams,0.95,0.93575084
112,Two groups of people are playing football,A player is running with the ball,0.275,0.6769243
113,Two teams are competing in a baseball game,A player is running with the ball,0.5,0.42352572
114,A player is running with the ball,Football is being played by two competing teams,0.5,0.5488643
115,Two teams are competing in a football match,A man who is playing is running with the ball in his hands,0.42500000000000004,0.5965297
116,A player is throwing the ball,Two teams are competing in a football match,0.475,0.4198581
117,A player is running with the ball,Two teams are competing in a football match,0.4,0.5624413
118,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,0.95,0.9644655
119,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,0.8,0.9406236
120,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,0.55,0.8764928
121,Five kids are standing close together and one kid has a gun,Five kids are standing close together and one kid has a weapon,0.95,0.94229925
122,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,0.675,0.61373913
123,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a weapon,0.44999999999999996,0.7301606
124,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,0.4,0.5446161
125,Five children are standing in front of a hut made of wood,Five kids are standing close together and one kid has a gun,0.5,0.6616711
126,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,0.42500000000000004,0.63120794
127,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,0.32499999999999996,0.6056901
128,Five children are standing in front of a wooden hut,Five kids are standing close together and one kid has a gun,0.32499999999999996,0.6897975
129,An old man is sitting in a field,A man is sitting in a field,0.8500000000000001,0.91722715
130,A man is sitting in a field,A man is running in a field,0.4,0.39838362
131,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,0.7749999999999999,0.96084434
132,A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,0.575,0.40310764
133,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,0.6,0.96910214
134,A person is sitting in a field and is wearing a hat,A man is sitting in a field,0.75,0.85124743
135,A man is sitting in a field,There is no person wearing a hat and sitting on the grass,0.42500000000000004,0.424629
136,A person is sitting and wearing a grass hat,A man is sitting in a field,0.575,0.7791245
137,An old man is sitting in a field,A person is wearing a hat and is sitting on the grass,0.44999999999999996,0.6852188
138,A person is wearing a hat and is sitting on the grass,A man is running in a field,0.09999999999999998,0.29531455
139,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,0.7,0.7874795
140,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,0.9750000000000001,0.9775349
141,A group of friends are riding the current in a raft,A group is not riding the current in a raft,0.675,0.4475478
142,This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,0.9750000000000001,0.9537739
143,Nobody is practicing water safety and wearing preservers,This group of people is practicing water safety and wearing preservers,0.6,0.29345864
144,A group of friends are riding the current in a raft,Preservers are being worn by a group of people who are practicing water safety,0.475,0.5144775
145,Nobody is practicing water safety and wearing preservers,A group of friends are riding the current in a raft,0.30000000000000004,0.21862428
146,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,0.55,0.48712784
147,A group is not riding the current in a raft,This group of people is practicing water safety and wearing preservers,0.44999999999999996,0.30260307
148,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,0.525,0.46092457
149,A deer is jumping over a fence,A deer is jumping over the enclosure,0.88375,0.9722633
150,A deer is jumping over a fence,A deer isn't jumping over the fence,0.725,0.5271287
151,A wild deer is jumping a fence,A deer is jumping a fence,0.95,0.94161123
152,A deer is jumping a fence,There is no deer jumping fences,0.7749999999999999,0.40167934
153,A wild deer is jumping a fence,A deer is jumping over a fence,0.875,0.93540037
154,There is no deer jumping fences,A deer is jumping over a fence,0.42125,0.38036972
155,A deer is jumping over the enclosure,A deer is jumping a fence,0.8,0.9472605
156,A deer is jumping a fence,A deer isn't jumping over the fence,0.6375,0.5158734
157,A deer is jumping over a fence,A deer is jumping a fence,0.9750000000000001,0.98141617
158,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,0.925,0.9867185
159,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,0.6,0.7036016
160,Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,0.925,0.90980625
161,Several people are in front of a colorful building,Nobody is in front of the colorful building,0.625,0.23363894
162,Several people are in front of a building which is covered by colors,People are walking outside a building that has many murals on it,0.7,0.7083105
163,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,0.65,0.30533752
164,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,0.65,0.73394835
165,Several people are in front of a colorful building,People are walking inside a building that has many murals on it,0.6,0.48942918
166,People are walking outside a building that has many murals on it,Several people are in front of a colorful building,0.675,0.7512326
167,A boy is hitting a baseball,A child is hitting a baseball,0.8500000000000001,0.93802416
168,A child is hitting a baseball,A child is missing a baseball,0.7,0.5607405
169,A family is watching a little boy who is hitting a baseball,A family is watching a boy who is hitting a baseball,0.8999999999999999,0.9953179
170,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,0.725,0.8252946
171,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,0.675,0.9806515
172,A family is watching a boy who is hitting a baseball,A child is hitting a baseball,0.675,0.7916384
173,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,0.50375,0.5248068
174,A little boy is watching a family that is hitting a baseball,A child is hitting a baseball,0.675,0.7792737
175,A family is watching a little boy who is hitting a baseball,A boy is hitting a baseball,0.8,0.8607611
176,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,0.42500000000000004,0.5595428
177,A family is watching a little boy who is hitting a baseball,A child is hitting a baseball,0.7749999999999999,0.8122175
178,A large group of Asian people is eating at a restaurant,A group of people from Asia is eating at a restaurant,0.95,0.95220006
179,A large group of Asian people is eating at a restaurant,A small group of people is waiting to eat in a restaurant,0.6,0.7994907
180,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,0.625,0.9907043
181,Various people are eating at red tables in a crowded restaurant with purple lights,Various customers are eating in a crowded restaurant with purple lights,0.8999999999999999,0.897598
182,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,0.55,0.8100486
183,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,0.575,0.9650307
184,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,0.475,0.9001037
185,Few people are eating at red tables in a restaurant without lights,A large group of Asian people is eating at a restaurant,0.4,0.7327082
186,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,0.525,0.85200727
187,A group of people from Asia is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,0.5,0.7618696
188,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,0.55,0.61442256
189,A group of people in a large Asian restaurant is eating,Various people are eating at red tables in a crowded restaurant with purple lights,0.575,0.85232663
190,A large group of Asian people is eating at a restaurant,Various people are eating at red tables in a crowded restaurant with purple lights,0.575,0.8534069
191,A motorcycle rider is standing up on the seat of a white motorcycle,A motorcycle is riding standing up on the seat of the vehicle,0.7749999999999999,0.8353925
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,0.7,0.56210095
193,Someone is on a black and white motorcycle and is standing on the seat,A rider is on a black and white bike and is standing on the seat,0.8999999999999999,0.9106381
194,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,0.675,0.34674174
195,A rider is on a black and white bike and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,0.65,0.7778704
196,Nobody is on a motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,0.65,0.380203
197,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle is riding standing up on the seat of the vehicle,0.54125,0.85830504
198,Someone is on a black and white motorcycle and is standing on the seat,No motorcycle rider is standing up on the seat of a motorcycle,0.65,0.5150271
199,Someone is on a black and white motorcycle and is standing on the seat,A motorcycle rider is standing up on the seat of a white motorcycle,0.675,0.82507545
200,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,0.8999999999999999,0.8300787
201,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,0.675,0.398643
202,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,0.95,0.9541557
203,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,0.675,0.6831392
204,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,0.75,0.49902287
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,0.575,0.45553398
206,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike dangerously along a roadway,0.7,0.56309795
207,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist with a red helmet is riding a blue motorcycle down the road,0.575,0.19012487
208,A motorcyclist with a red helmet is riding a blue motorcycle down the road,A motorcyclist is riding a motorbike along a roadway,0.875,0.55601877
209,A dog is catching a stick in the air and another is watching,A dog is leaping high in the air and another is watching,0.8,0.6513987
210,There is no dog leaping in the air,A dog is leaping high in the air and another is watching,0.575,0.20948154
211,Two dogs are playing by a tree,Two dogs are playing by a plant,0.8999999999999999,0.9470956
212,Two dogs are playing by a tree,Two dogs are sleeping by a tree,0.64125,0.38366866
213,A dog is leaping high in the air and another is watching,Two dogs are playing by a plant,0.44999999999999996,0.61807805
214,A dog is leaping high in the air and another is watching,Two dogs are sleeping by a tree,0.4,-0.008893532
215,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,0.675,0.71326876
216,Two dogs are playing by a tree,There is no dog leaping in the air,0.42500000000000004,0.21955362
217,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,0.5,0.63902736
218,A girl in white is dancing,A girl is wearing white clothes and is dancing,0.9750000000000001,0.98757476
219,There is no girl in white dancing,A girl in white is dancing,0.8,0.46567804
220,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,0.8500000000000001,0.7872011
221,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,0.725,0.9884788
222,The blond girl is dancing in front of the sound equipment,The equipment in front of the blond dancing girl is sound,0.725,0.8023014
223,A girl in white is dancing,The dancer is dancing in front of the sound equipment,0.75,0.7423887
224,A girl in white is dancing,The blond girl is dancing behind the sound equipment,0.575,0.8594372
225,The equipment in front of the blond dancing girl is sound,A girl in white is dancing,0.42500000000000004,0.7252707
226,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,0.625,0.8901515
227,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,0.575,0.39758864
228,A girl in white is dancing,The blond girl is dancing in front of the sound equipment,0.575,0.8789989
229,The children of a family are patiently playing and waiting,The children of a family are playing and waiting,0.875,0.8843081
230,The children of a family are playing and waiting,There are no children playing and waiting,0.525,0.16226724
231,Three Asian kids are dancing and a serious man is looking,Three Asian kids are dancing and a man is looking,0.875,0.9312726
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,0.725,0.6813897
233,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,0.675,0.96953356
234,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,0.22499999999999998,0.35660362
235,The children of a family are playing and waiting,Three Asian kids are dancing and there is no man looking,0.42500000000000004,0.21267569
236,The children of a family are playing and waiting,An Asian man is dancing and three kids are looking,0.22499999999999998,0.40400428
237,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,0.32499999999999996,0.2915697
238,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,0.15000000000000002,0.092280224
239,Three Asian kids are dancing and a man is looking,The children of a family are playing and waiting,0.32499999999999996,0.40818498
240,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,0.825,0.9669304
241,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,0.75,0.75707996
242,A woman is wearing an Egyptian headdress,An Egyptian is wearing a woman's headdress,0.725,0.9663514
243,The woman is wearing glasses and a black headdress,The woman with a black hat is wearing sunglasses,0.725,0.94232315
244,The woman is not wearing glasses or a headdress,The woman is wearing glasses and a black headdress,0.725,0.46362332
245,The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,0.675,0.9723222
246,A woman is wearing an Egyptian headdress,The woman with a black hat is wearing sunglasses,0.32499999999999996,0.56318945
247,The woman is not wearing glasses or a headdress,A woman is wearing an Egyptian headdress,0.65,0.41960758
248,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,0.65,0.6242806
249,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,0.375,0.7108076
250,A woman is wearing an Indian headdress,The woman is wearing glasses and a black headdress,0.5,0.618606
251,The woman is wearing glasses and a black headdress,An Egyptian is wearing a woman's headdress,0.525,0.62758017
252,The woman is wearing glasses and a black headdress,A woman is wearing an Egyptian headdress,0.7,0.66602874
253,A hiker is on top of the mountain and is doing a joyful dance,A hiker is on top of the mountain and is dancing,0.925,0.89808804
254,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,0.55,0.49751884
255,A man is on a rock high above some trees and is standing in an uncomfortable position,A man is on a rock high above some trees and is standing in a strange position,0.8,0.93525624
256,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,0.825,0.56254095
257,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,0.375,0.4661039
258,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,0.375,0.33860937
259,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,0.475,0.48280543
260,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,0.35,0.41540924
261,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is dancing,0.55,0.5569761
262,A cowgirl is riding a brown horse and is cornering a barrel,A cowgirl is riding a horse and corners a barrel,0.925,0.88613236
263,A cowboy is riding a horse and cornering a barrel,A cowgirl is riding a horse and corners a barrel,0.7749999999999999,0.74333376
264,A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel,0.44999999999999996,0.9381285
265,The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,0.95,0.987195
266,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,0.65,0.64739394
267,The brown horse is very near a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,0.475,0.5450313
268,The brown horse is far from a red barrel at the rodeo,A cowgirl is riding a horse and corners a barrel,0.375,0.4220151
269,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,0.55,0.6781186
270,A cowboy is riding a horse and cornering a barrel,The brown horse is near a red barrel at the rodeo,0.675,0.6066129
271,The brown horse is near a red barrel at the rodeo,A cowgirl is riding a barrel near a horse in the corner,0.525,0.56387454
272,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,0.7,0.5557532
273,A boy is standing in the cold water,A boy is standing in the water,0.7749999999999999,0.83398247
274,A boy is standing outside the water,A boy is standing in the water,0.65,0.8708085
275,The kid is swimming through the blue ocean,The boy is wading through the blue ocean,0.8,0.8969126
276,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,0.55,0.6469805
277,A boy is standing in the water,The kid is swimming through the blue ocean,0.5,0.5933876
278,A boy is standing in the water,The boy is sitting near the blue ocean,0.44999999999999996,0.32066882
279,The boy is wading through the blue ocean,A boy is standing in the cold water,0.575,0.5320409
280,A boy is standing outside the water,The boy is wading through the blue ocean,0.53375,0.5258101
281,A boy is standing in the water,The boy is wading through the blue ocean,0.75,0.6446033
282,A skilled man is playing a guitar on stage,A man is playing a guitar on stage,0.8999999999999999,0.9398492
283,A man is playing a guitar on stage,There is no man playing a guitar on stage,0.65,0.44598716
284,A person has blonde and flyaway hair and is playing a guitar,A guitarist has blonde and flyaway hair,0.925,0.8996735
285,A bald person is playing a guitar,A person has blonde and flyaway hair and is playing a guitar,0.725,0.66351855
286,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,0.5,0.45912033
287,A man is playing a guitar on stage,A bald person is playing a guitar,0.7,0.611657
288,A skilled man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,0.7,0.613623
289,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,0.6,0.30289596
290,A man is playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,0.5,0.6362087
291,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,0.75,0.90431625
