,sentences
67,Four girls are doing backbends and playing indoors
68,A man who is playing is running with the ball in his hands
69,A player is running with the ball
70,A player is throwing the ball
71,Two groups of people are playing football
72,Two teams are competing in a football match
73,Two teams are competing in a baseball game
74,Football is being played by two competing teams
75,Five children are standing in front of a wooden hut
76,Five children are standing in front of a hut made of wood
77,Five children are standing in a wooden hut
78,Five wooden stands are in front of each child's hut
79,Five kids are standing close together and one kid has a gun
80,Five kids are standing close together and one kid has a weapon
81,Five kids are standing close together and none of the kids has a gun
82,An old man is sitting in a field
83,A man is sitting in a field
84,A man is running in a field
85,A person is wearing a hat and is sitting on the grass
86,A person is sitting in a field and is wearing a hat
87,There is no person wearing a hat and sitting on the grass
88,A person is sitting and wearing a grass hat
89,The current is being ridden by a group of friends in a raft
90,A group of friends are riding the current in a raft
91,A group is not riding the current in a raft
92,This group of people is practicing water safety and wearing preservers
93,Preservers are being worn by a group of people who are practicing water safety
94,Nobody is practicing water safety and wearing preservers
95,A deer is jumping over a fence
96,A deer is jumping over the enclosure
97,A deer isn't jumping over the fence
98,A wild deer is jumping a fence
99,A deer is jumping a fence
100,There is no deer jumping fences
101,People are walking outside a building that has many murals on it
102,People are walking outside the building that has several murals on it
103,People are walking inside a building that has many murals on it
104,Several people are in front of a building which is covered by colors
105,Several people are in front of a colorful building
106,Nobody is in front of the colorful building
107,A boy is hitting a baseball
108,A child is hitting a baseball
109,A child is missing a baseball
110,A family is watching a little boy who is hitting a baseball
111,A family is watching a boy who is hitting a baseball
112,A family is watching a little boy who is missing a baseball
113,A little boy is watching a family that is hitting a baseball
114,A large group of Asian people is eating at a restaurant
115,A group of people from Asia is eating at a restaurant
116,A small group of people is waiting to eat in a restaurant
117,A group of people in a large Asian restaurant is eating
118,Various people are eating at red tables in a crowded restaurant with purple lights
119,Various customers are eating in a crowded restaurant with purple lights
120,Few people are eating at red tables in a restaurant without lights
121,A purple crowd of people is eating on various red lit restaurant tables
122,A motorcycle rider is standing up on the seat of a white motorcycle
123,A motorcycle is riding standing up on the seat of the vehicle
124,No motorcycle rider is standing up on the seat of a motorcycle
125,Someone is on a black and white motorcycle and is standing on the seat
126,A rider is on a black and white bike and is standing on the seat
127,Nobody is on a motorcycle and is standing on the seat
128,A motorcyclist is riding a motorbike dangerously along a roadway
129,A motorcyclist is riding a motorbike along a roadway
130,There is no motorcyclist riding a motorbike along a roadway
131,A man with a helmet painted red is riding a blue motorcycle down the road
132,A motorcyclist with a red helmet is riding a blue motorcycle down the road
133,A motorcyclist without a helmet is waiting on a blue motorcycle near the road
134,A dog is catching a stick in the air and another is watching
135,A dog is leaping high in the air and another is watching
136,There is no dog leaping in the air
137,Two dogs are playing by a tree
138,Two dogs are playing by a plant
139,Two dogs are sleeping by a tree
140,A girl in white is dancing
141,A girl is wearing white clothes and is dancing
142,There is no girl in white dancing
143,The dancer is dancing in front of the sound equipment
144,The blond girl is dancing in front of the sound equipment
145,The blond girl is dancing behind the sound equipment
146,The equipment in front of the blond dancing girl is sound
147,The children of a family are patiently playing and waiting
148,The children of a family are playing and waiting
149,There are no children playing and waiting
150,Three Asian kids are dancing and a serious man is looking
151,Three Asian kids are dancing and a man is looking
152,Three Asian kids are dancing and there is no man looking
153,An Asian man is dancing and three kids are looking
154,A woman is wearing an Egyptian hat on her head
155,A woman is wearing an Egyptian headdress
156,A woman is wearing an Indian headdress
157,An Egyptian is wearing a woman's headdress
158,The woman is wearing glasses and a black headdress
159,The woman with a black hat is wearing sunglasses
160,The woman is not wearing glasses or a headdress
161,The black woman is wearing glasses over the headdress
162,A hiker is on top of the mountain and is doing a joyful dance
163,A hiker is on top of the mountain and is dancing
164,There is no hiker dancing on top of the mountain
165,A man is on a rock high above some trees and is standing in an uncomfortable position
166,A man is on a rock high above some trees and is standing in a strange position
167,There is no man on a rock high above some trees standing in a strange position
168,A cowgirl is riding a brown horse and is cornering a barrel
169,A cowgirl is riding a horse and corners a barrel
170,A cowboy is riding a horse and cornering a barrel
171,A cowgirl is riding a barrel near a horse in the corner
172,The brown horse is very near a red barrel at the rodeo
173,The brown horse is near a red barrel at the rodeo
174,The brown horse is far from a red barrel at the rodeo
175,A boy is standing in the cold water
176,A boy is standing in the water
177,A boy is standing outside the water
178,The kid is swimming through the blue ocean
179,The boy is wading through the blue ocean
180,The boy is sitting near the blue ocean
181,A skilled man is playing a guitar on stage
182,A man is playing a guitar on stage
183,There is no man playing a guitar on stage
184,A person has blonde and flyaway hair and is playing a guitar
185,A guitarist has blonde and flyaway hair
186,A bald person is playing a guitar
187,Several children are sitting down and have their knees raised
188,Several children are lying down and are raising their knees
189,Several children are standing up
190,Two young girls are sitting on the ground
191,Two girls are sitting on the ground
192,Two girls are lying on the ground
193,A nude lady is walking in front of many people in body paint
194,A nude lady is walking in front of a crowd in body paint
195,There is no lady walking in body paint in front of a crowd 
196,A nude crowd in body paint is walking in front of a lady 
197,"A young, topless woman is covered in paint"
198,A topless girl is covered in paint
199,"An old, topless woman is covered in paint"
200,A group of people is near the ocean
201,A crowd of people is near the water
202,A crowd of people is far from the water
203,A group of children in uniforms is standing at a gate and one is kissing the mother
204,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother
205,A group of children in uniforms is standing at a gate and there is no one kissing the mother
206,A group of mothers in uniforms is standing near the children and one is kissing the gate
207,A man is in a parking lot and is playing tennis against a large wall
208,A lone man is in a parking lot and is playing tennis against a large wall
209,A man is in a parking lot and is playing tennis against a friend
210,A man is pointing at a silver sedan
211,A man is pointing at a car
212,There is no man pointing at a car
213,A group of people is on a beach
214,A group of people is near the sea
215,A group of people is on a mountain
216,"A man, a woman and two girls are walking on the beach"
217,Four people are walking on the beach
218,"A man, a woman and two girls are sitting on the beach"
219,A schoolgirl with a black bag is on a crowded train
220,A girl with a black bag is on a crowded train
221,There is no girl with a black bag on a crowded train
222,A cramped black train is on the bag of a girl
223,An Asian woman in a crowd is carrying a black bag
224,An Asian woman in in the midst of many people is carrying a black bag
225,An Asian woman in a crowd is not carrying a black bag
226,A dog is chasing another and is holding a stick in its mouth
227,A dog is chasing another and is holding a piece of wood in its mouth
228,There is no dog chasing another or holding a stick in its mouth
229,A dog is chasing a stick and holding another dog in its mouth
230,Two dogs are running and carrying a toy in their mouths
231,Two dogs are running and carrying an object in their mouths
232,There is no dog running and carrying an object in its mouth
233,A dirty soccer ball is rolling into a goal net
234,A soccer ball is rolling into a goal net
235,A soccer ball is not rolling into a goal net
236,A person who plays soccer is kicking a ball into the goal
237,A soccer player is kicking a ball into the goal
238,A soccer player is kicking a ball out of the goal
239,A man is resting on a chair and rubbing his eyes
240,A man is sitting on a chair and rubbing his eyes
241,There is no man sitting on a chair and rubbing his eyes
242,A man with tattoos is lounging on a couch and holding a pencil
243,A tattooed man is on a sofa and is holding a pencil
244,A man with tattoos is lounging on a couch and is looking for a pencil
245,A man with tattoos is holding a couch with a pencil
246,A brown and white dog is running through the tall grass
247,A brown and white dog is moving through the wild grass
248,A brown and white dog is resting in the grass
249,A white and tan dog is running through the tall and green grass
250,A white and tan dog is running through a field
251,A black and tan dog is running through the low and green grass
252,A man with paint covered clothes is sitting outside in a busy area writing something
253,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something
254,There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something
255,A sitting man is busy writing something in an area covered by paint
256,A man is sitting near a bike and is writing a note
257,A man is standing near a bike and is writing on a piece paper
258,There is no man writing a note near a bike
259,A group of scouts are hiking through the grass
260,A group of explorers are walking through the grass
261,A group of scouts are camping in the grass
262,Some people are walking
263,People are walking
264,Some people are standing
265,Two men are taking a break from a trip on a snowy road
266,Two men are taking a break from a trip on a road covered by snow
267,Two men are walking on a snowy road
268,Two men are breaking into a car during a trip on a snowy road
269,Two men are holding bikes and standing on the side of a road covered of snow
270,Two men with bikes are on the side of a snowy road
271,Two men with cars are on the side of a snowy road
272,Two men are holding fishing poles and fishing tackle
273,Two men are holding fishing poles
274,Two men are not holding fishing poles
275,Two men are standing near the water and are holding fishing poles
276,Two men are standing near the water and are holding tools used for fishing
277,There is no man standing near the water and holding fishing poles
278,Two men are holding some water standing near fishing poles
279,The helmeted girl is perching on a bike
280,The girl with a helmet is perching on a bike
281,The helmeted girl is riding a bike
282,A woman is performing a trick on a ramp with a bicycle
283,A woman is jumping with a bicycle
284,A woman is performing a trick on a ramp with a car
285,A blonds girl is surfing
286,A blond girl is riding the waves
287,A blond girl is looking at the waves
288,A blond girl waves while she is riding
289,A lady is surfing and riding a wave
290,A woman is surfing
291,A boy is surfing and riding a wave
292,Two children and an adult are standing next to a tree limb
293,Three people are standing next to a tree limb
294,Two children and an adult are not standing next to a tree limb
295,Two children are hanging on a large branch
296,Two children are climbing a tree
297,There is no child hanging on a large branch
298,A man dressed in black is riding a bike
299,A man is performing a trick on a bike
300,There is no man dressed in black and riding a green bike
301,A black man in green is riding a bike
302,A man is performing stunts on a green bicycle
303,A man is performing a trick on a green bicycle
304,There is no man performing a trick on a green bicycle
305,A boy is holding a squirt gun
306,A child is holding a squirt gun
307,There is no child holding a squirt gun
308,A laughing child is holding a water gun and getting sprayed with water
309,A child with a gun that sprays water is laughing and getting hit by other boys
310,There is no child holding a water gun or getting sprayed with water
311,Two brown dogs are fighting over a red ball and are playing in the grass
312,Two brown dogs are fighting over a red toy and are playing in the grass
313,There is no dog playing with a red ball
314,Two daschunds are playing with a red ball
315,Two dogs are playing with a small red ball
316,Two cats are playing with a red ball
317,The black and white dog is running and a person stands behind it
318,"The dog, which is black and white, is running and a person stands behind it"
319,The black and white dog isn't running and there is no person standing behind
320,A black person is running along a white stand and a dog barks behind him
321,A little dog is sprinting and the person who owns it is trying to catch it
322,A little dog is sprinting and its owner is trying to catch it
323,A little dog is slowing down and the owner is quitting chasing it
324,A man is sitting comfortably at a table
325,A person is sitting comfortably at the table
326,A man isn't sitting comfortably at the table
327,A man is sitting and tables a comfortable discussion
328,A man wearing a dyed black shirt is sitting at the table and laughing
329,A black shirt is being worn by a man who is sitting at the table and laughing
330,"There is no man wearing a shirt dyed black, sitting at the table and laughing"
331,A laughing man is dyeing a shirt black on the table which you cannot sit at 
332,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians
333,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians
334,A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians
335,A pedestrian woman is building pink bicycles for boa wearing riders
336,"The woman wearing silver pants, pink bellbottoms and a pink scarf is happily riding a bike"
337,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike"
338,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike"
339,Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people
340,"A person, who is riding a bike, is wearing gear which is black"
341,A biker is wearing gear which is black
342,A biker is naked
343,A biker wearing black is breaking the gears
344,A black helmet is being worn by a man who is pushing a bicycle
345,One man is wearing a black helmet and pushing a bicycle
346,There is no man wearing a black helmet and pushing a bicycle
347,A man is pushing a helmet towards another one on a black bicycle
348,The man in a grey t-shirt is sitting on a rock in front of the waterfall
349,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall
350,There is no man in a grey t-shirt sitting on a rock in front of the waterfall
351,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front
352,One woman is sitting and looks at the waterfall
353,A woman is sitting and looking at the waterfall
354,A woman is standing and isn't looking at the waterfall
355,Somebody is sitting at the waterfall and looking at a woman
356,"A dog, which is brown, and a black one are racing in the grass"
357,"A dog, which is brown, and a black one are running in the grass"
358,There is no dog running in the grass
359,A black man is running in brown grass and racing a dog
360,A dark black dog and a light brown dog are playing in the yard in the back
361,A dark black dog and a light brown dog are playing in the backyard
362,A dark black dog and a light brown dog are fighting in the backyard
363,The backyard light is playing tricks in the dark on the brown and black dog
364,A dog that has a brown and white coat is trotting through shallow water
365,A dog that has a white and brown colored coat is trotting through shallow water.
366,A dog that has a brown and white coat is sitting in shallow water
367,A brown and white coat is floating across shallow water near a trotting dog
368,A white and brown dog is walking through the water with difficulty
369,A white and brown dog is pacing through the water with difficulty
370,There is no white and brown dog pacing with through the water difficulty
371,A white man is walking a dog through brown water with difficulty
372,A group of boys are playing with a ball in front of a large door made of wood
373,A bunch of boys are playing with a ball in front of a large door made of wood
374,A group of boys are quiet in front of a large door made of wood
375,A ball made of wood is being played through a door in front of a large group of boys 
376,"The children are playing in front of a door, which is very large"
377,The children are playing in front of a large door
378,The children aren't playing in front of a large door
379,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress"
380,"A woman is taking off a cloak, which is very large, and revealing extravagant apparel"
381,"A woman is putting on a cloak, which is very large, and concealing an extravagant dress"
382,"A black, red, white and pink dress is being worn by a woman"
383,"A dress, which is black, red, white and pink is being worn by a woman"
384,"There is no black, red, white and pink dress being worn by a woman"
385,The teenage girl is wearing beads that are red
386,A teenage girl is wearing beads that are red
387,A teenage girl is storing away beads that are red
388,The girl likes red and isn't wearing beads for teenagers
389,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling"
390,"A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling"
391,"There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling"
392,"A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace "
393,A boy is climbing up a wall artificially built for climbing and is attached to a rope
394,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope
395,A boy is coming down a wall artificially built for climbing and isn't attached to the rope
396,A climber on the wall is attached to the climbing boy with an artificially built rope
397,A fearful little boy is on a climbing wall
398,"A little boy, who looks fearful, is on a climbing wall."
399,A fearful little boy is on the ground
400,A climbing boy rescues the fearful cat from over the wall
401,A dad is launching his daughter into a swimming pool
402,A father is launching the daughter in a swimming pool
403,A father is taking away his daughter from a swimming pool
404,A father is in the swimming pool during his daughters launch
405,The man is tossing a kid into the swimming pool that is near the ocean
406,One man is tossing a kid into the swimming pool that is near the ocean
407,A man isn't tossing a kid into the swimming pool that is near the ocean
408,"A kid swimming in the ocean is tossing a coin into the pool, near the man"
409,One man is climbing the cliff with a rope
410,One man is climbing a cliff with a rope
411,One man is descending a cliff with a rope
412,A social climber is tying a man to a cliff with a rope
413,"A person is climbing a rock with a rope, which is pink"
414,"A rock is being climbed by a person with a rope, which is pink"
415,"A person is standing in front of a rock with a rope, which is pink"
416,A person with pink climbing gear roped the rock
417,The young boy is climbing the wall made of rock
418,One young boy is climbing a wall made of rock
419,A young boy isn't climbing a wall made of rock
420,A young climber is making a rock wall for the boys
421,A young child is climbing a rock climbing wall which is indoors
422,A young kid is climbing a rock climbing wall which is indoors
423,A young child is under a rock climbing wall which is indoors
424,A child is indoors watching a program about some young climbers on a rock wall.
425,One man is doing a trick with a bicycle in midair
426,One man is doing a bicycle trick in midair
427,A man is failing to perform a bicycle trick in midair
428,A cyclist is fearlessly performing a trick in the air
429,The cyclist is performing a trick in the air
430,The cyclist isn't performing a trick in the air
431,The air is tricking a performing cyclist
432,"A dog, which is black, and a white one are staring at each other in the street"
433,"A dog, which is black, and another one, which is white, are staring at each other in the street"
434,"A dog, which is black, and a white one are ignoring each other in the street"
435,One white dog is staring at the black street
436,Two dogs of different breeds are looking angrily at each other across a street
437,Two dogs of different breeds are looking at each other across a street
438,There are no dogs of different breeds looking at each other across a street
439,"Along two streets, different breeds of dogs are being looked at"
440,"A dog next to a tree, which is probably a pine, is dropping a bucket"
441,"A dog next to a tree, which is probably a pine, is biting a bucket"
442,A dog in a bucket is biting a tree which is probably a pine
443,A dog which is furry and black is in a backyard and is carrying a basket in its mouth.
444,A dog which is furry and black is in a back yard and is carrying a basket in its mouth
445,There is no dog which is furry and black in a back yard carrying a basket in its mouth.
446,A dog in the backyard is carrying black fur in a basket in its mouth.
447,Two persons of large size are sitting on a park bench and they have a bottle of soda between them
448,Two large persons are sitting on a park bench and they have a bottle of soda between them
449,Two large persons are standing near a park bench and they have nothing between them
450,Two large park benches have a person sitting and a bottle of soda between them
451,A man and a woman are sitting comfortably on the bench
452,Two people are sitting comfortably on the bench
453,Nobody is sitting comfortably on the bench
454,One man is leading the race
455,A man is leading the race
456,A man is bringing up the rear of the race
457,The man is racing for the lead 
458,A few men in a competition are running outside
459,A few men in a competition are running outdoors
460,A few men in a competition are running indoors
461,A few men are running competitions outside
462,The subject is being studied by a man with a camera
463,A man with a camera is studying the subject
464,There is no man with a camera studying the subject
465,The study subject is a camera man
466,The man with the dyed purple hat is operating a camera that makes videos
467,The man in the purple hat is operating a camera that makes videos
468,The man in the purple hat isn't operating a camera that makes videos
469,The bride and the groom are leaving after the marriage
470,The bride and the groom are leaving after the wedding
471,The bride and the groom are arriving after the wedding
472,The bride is leaving the groom after the wedding
473,A married couple is walking down the aisle
474,A couple who have just got married are walking down the isle
475,A married couple is walking up the aisle
476,The priest is walking down the aisle to marry a couple
477,The students are filling the classroom
478,A classroom is full of students
479,A classroom is empty
480,The presentation is being watched by a classroom of students
481,The presentation is being attended by a classroom of students
482,The presentation isn't being watched by a classroom of students
483,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees
484,A boy at the bottom of a hill covered in snow is naked and is sitting on his knees
485,A boy on a red and black slide is wearing a jacket and a hat and has knees which are covered in snow
486,The kid is happily sliding in the snow
487,The kid is sliding in the snow
488,The kid is still in the snow
489,A snow slide is full of kids
490,A woman and a dog are peacefully sitting on a tree stump
491,A woman and a dog are sitting on a tree stump
492,A woman and a dog are standing near a tree stump
493,"A woman, who is old, is near a dog that has a white coat"
494,"A woman, who is old, is near a white dog"
495,"A woman, who is old, is far from a white dog"
496,A dog is excitedly playing with water in a field
497,A dog is excitedly playing with water in the grass
498,There is no dog excitedly playing with water in the grass
499,A man is watering the grass and excitedly playing with a dog
500,The dog is biting some droplets of water
501,The dog is snapping at some droplets of water
502,The dog isn't snapping at some droplets of water
503,A snap is depicting some water falling in droplets on the dog
504,Two men are walking two dogs with golden coats in the snow
505,Two people are walking two dogs with golden coats in the snow
506,Two people are in the snow holding two dogs with golden coats
507,"Two people are in the snow, wearing clothes that provide camouflage"
508,"Some people are in the snow, wearing clothes that provide camouflage"
509,Nobody is in the snow wearing clothes that provide camouflage
510,"Two people are in the snow not wearing clothes, which provides camouflage. "
511,"A girl from Asia, in front of a brick window, looks surprised"
512,"A girl from Asia, in front of a window made of bricks, looks surprised"
513,"A girl from Asia, in front of a brick window, doesn't look surprised"
514,A girl is looking on surprised from a front window in a house in Asia.
515,A girl is wearing a t-shirt and has her mouth open.
516,A girl has a t-shirt and is keeping her mouth open
517,There is no girl wearing a t-shirt and keeping her mouth open
518,A group of people is equipped with protective gear
519,A group of people is equipped with gear used for protection
520,A group of people is equipped with unprotective gear
521,A person in biking gear is standing steadily in front of some mountains 
522,A person in the gear used for biking is standing steadily in front of the mountains
523,There is no person in bike gear standing steadily in front of the mountains
524,The mountain gear is steadily placed in front of the standing biker
525,The football is between the feet of a boy who is lying on the grass
526,The football isn't between the feet of a boy who is lying in the grass
527,The boy on the grass is lying and is hiding the football between his feet
528,The little kid is playing football and falling harmlessly into the grass
529,The little kid is playing football and falling into the grass
530,There is no little kid playing football and falling into the grass
531,A football player is falling into the grass to dodge a little kid
532,"A man with climbing equipment is hanging from a rock, which is vertical and white"
533,"A man with equipment used for climbing is hanging from a white, vertical rock."
534,"A man with equipment used for climbing is under a vertical, white rock"
535,"The climbing equipment to rescue a man is hanging from a white, vertical rock"
536,A woman with pigtails is climbing a rock wall
537,A woman with a ponytail is climbing a wall of rock
538,A woman with a ponytail is climbing down a wall of rock
539,A woman is tailing a pony near a rock climbing wall
540,A black and a white dog are joyfully running on the grass
541,"A dog, which has a black coat, and a white dog are running on the grass"
542,There is no dog joyfully running on the grass
543,A black person in white is joyfully running with the dog on the grass
544,One white dog and one black one are cheerfully running side by side on the grass
545,One white dog and one black one are running side by side on the grass
546,One white dog and one black one are sitting side by side on the grass
547,A lot of people are in an ice skating park
548,Not a lot of people are in an ice skating park
549,There aren't many people in the ice skating park
550,Many people are skating in an ice park
551,The ice skating rink placed outdoors is full of people
552,An ice skating rink placed outdoors is full of people
553,An ice skating rink placed outdoors is empty
554,An ice skater is outdoors performing on a rink full of people
555,"A girl in a uniform, which is blue, is quickly raising her arm"
556,"A girl in a uniform, which is blue, is raising her arm."
557,"A girl in a uniform, which is blue, is lowering her arm"
558,A girl is raising a blue uniform with her arm
559,The girl in the blue and white uniform is cheering
560,Some cheers are being performed by the girl in the blue and white uniform
561,The girl in the blue and white uniform isn't cheering
562,The girl is cheering the man in the blue and white uniform
563,A bunch of guys is on the shore
564,A bunch of people is on the shore
565,There is no one on the shore
566,People are on a beach full of sand by the ocean and are enjoying a sunny day
567,People are on a beach full of sand by the ocean and are enjoying a day full of sun
568,People are far from a beach full of sand by the ocean and are suffering from the sunny day
569,A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle
570,A man in a blue jumpsuit is courageously performing a wheelie on a motorcycle
571,A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit
572,The man is doing a wheelie with a motorbike in a field which is mostly barren
573,The man is doing a wheelie with a motorcycle on ground which is mostly barren
574,The man is getting off a motorcycle onto ground which is mostly barren
575,"The man is on ground which is mostly barren, filming a wheelie done with a motorcycle."
576,A woman is being kissed by a man
577,A lady is being kissed by a man
578,There is no woman being kissed by a man
579,Two people are passionately kissing near a crowd
580,Two people are kissing near a crowd
581,Two people are arguing near a crowd
582,A nearby throng of people are kissing two by two
583,"The young woman in a dyed red shirt, is blowing a bubble that is huge"
584,The girl in the red shirt is blowing a bubble 
585,The girl in a dyed red shirt isn't blowing a bubble
586,"A bubble blew, dyeing the girl's shirt red."
587,The young girl is blowing a bubble that is huge
588,"The girl, who is young, is blowing a bubble that is huge"
589,The young girl is blowing a bubble that is very small
590,A young child is wearing boots made of green rubber and playing in a puddle full of mud
591,A young child is wearing green boots and playing in a puddle full of mud
592,A young child is barefoot and is walking past a puddle full of mud
593,Some green boots in a puddle full of mud are targeted by a playful young child wearing a scarf
594,A little boy is jumping into a puddle in the street
595,A little boy is jumping into a puddle on the street
596,A little boy is getting out of a puddle in the street
597,A little boy's jumper is in a puddle in the street
598,"Some corndogs are being eaten by two toddlers who are in a wagon, which is really small"
599,"Two toddlers are eating corndogs in a wagon, which is really small"
600,"Two toddlers are sleeping in a wagon, which is really small"
601,Two toddlers are eating on a really small wagon full of corndogs 
602,Two young kids are eating corndogs
603,Two young children are eating corndogs
604,Two young kids are fasting
605,Two young kids are playing with a man eating corndogs
606,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face
607,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny
608,"A man in a shirt dyed purple is walking away from a man in a black shirt, who is serious"
609,"A man in a purple shirt is dying another shirt black, which has a man looking at a dog doing a funny face painted on it."
610,A man in a pose is being amusedly watched by another man
611,A man doing a pose is being watched by another man
612,There is no man in a pose being watched by another man
613,A man is posing to be watched by another man
614,A horse is tossing the cowboy wearing pants of blue and red color
615,The cowboy in blue and red pants is being tossed by a horse
616,There is no horse tossing the cowboy in red and blue pants
617,The cowboy is tossing the blue and red pants towards the horse
618,A man is abruptly falling off a horse on a track laid in the wild
619,A man is falling off a horse on a track and is laid in the wild
620,A man is getting on a horse on a track laid in the wild
621,A man is laying a cover over a wild horse that is falling on the track
622,An adult is in the amphitheater and is talking seriously to a boy
623,An adult is in the amphitheater and is talking to a boy
624,There is no adult in the amphitheater talking to a boy
625,A talk about an adult and a boy is given in the amphitheater
626,"The man and the boy are standing at the bottom of the stairs, which are outdoors"
627,"A man and a boy are standing at the bottom of some stairs, which are outdoors"
628,"The man and the boy are standing at the top of the stairs, which are outdoors"
629,The man is standing outdoor and the boy is falling over the bottom of the stairs
630,A boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera
631,"A boy in a red shirt is in front a wall, which is long and blue, and is suspiciously raising an eyebrow at the camera"
632,"A boy in a red shirt is behind a long blue wall and is lowering an eyebrow, facing the camera"
633,"A boy is standing in front of the building painted blue, in the space reserved for handicapped people"
634,A boy is standing in front of the blue building in the space reserved for handicapped people
635,There is no boy standing in front of the blue building in the space reserved for handicapped people
636,"The Jockeys are riding horses on the field, which is completely green"
637,"The Jockeys are racing horses on the field, which is completely green"
638,"The Jockeys are slowing down their horses on the field, which is completely green"
639,The green field for horse races is completely full of Jockeys
640,A few horses are racing furiously over the green grass and jumping the obstacle
641,Some horses are racing furiously over the green grass and jumping an obstacle
642,Some horses are resting on the green grass
643,Some furious racers on the green grass are yelling at the horses jumping an obstacle
644,A woman is wearing sunglasses of large size and is holding newspapers in both hands
645,The woman is wearing sunglasses of large size and is holding newspapers in both hands
646,There is no woman wearing sunglasses of large size and holding newspapers in both hands
647,A newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat
648,An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers
649,An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers
650,An old woman is shirtless and is clumsily dropping two newspapers
