OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
The player is dunking the basketball into the net and a crowd is in background,player dip bottle direct heap aftermath,0.3178199,0.517956062503483
The player is missing the basket and a crowd is in background,player lack container heap aftermath,0.6879288,0.5647905899418725
Two people are kickboxing and spectators are watching,two person kick seeing seeing,0.7333795,0.5475188493728638
Two people are fighting and spectators are watching,two person fighting seeing seeing,0.85167706,0.548380583524704
Two people are kickboxing and spectators are not watching,two person kick seeing seeing,0.5186993,0.5545672066509724
Two spectators are kickboxing and some people are watching,two seeing kick person seeing,0.70000625,0.5443988367915154
Two young women are sparring in a kickboxing fight,two young human fighting kick fight,0.7560127,0.5017475336790085
Two women are sparring in a kickboxing match,two human fighting kick match,0.66466296,0.4830809363297054
Two young women are not sparring in a kickboxing fight,two young human fighting kick fight,0.3671404,0.5077505532433005
Kids in red shirts are playing in the leaves,child brown shirt performing page,0.45859206,0.4833405784198216
Children in red shirts are playing in the leaves,child brown shirt performing page,0.46087134,0.48947459885052275
Children in red shirts are sleeping in the leaves,child brown shirt bed page,0.49942148,0.48152809483664377
Children covered by leaves are playing with red shirts,child cover page performing brown shirt,0.50332,0.4748301188151042
Three boys are jumping in the leaves,two boy jump page,0.72902757,0.468736318024722
Three kids are jumping in the leaves,two child jump page,0.7338358,0.45448963750492444
Three kids are sitting in the leaves,two child sit page,0.7158711,0.4605426625771956
Two children are lying in the snow and are drawing angels,two child deception precipitation imagination deviltry,0.27975392,0.41186135155814035
Two children are lying in the snow and are making snow angels,two child deception precipitation fabricate precipitation deviltry,0.36358303,0.3664403466077951
There is no child lying in the snow and making snow angels,child deception precipitation fabricate precipitation deviltry,0.2858042,0.37949705839157105
Two angels are making snow on the lying children,two deviltry fabricate precipitation deception child,0.52449393,0.38003094792366027
Two people wearing snowsuits are on the ground making snow angels,two person vest clothing floor fabricate precipitation deviltry,0.28814018,0.40289457559585573
Two people in snowsuits are lying in the snow and making snow angels,two person clothing deception precipitation fabricate precipitation deviltry,0.24681601,0.3979875604311625
Nobody in snowsuits is lying in the snow and making snow angels,person clothing deception precipitation fabricate precipitation deviltry,0.23303488,0.3866662532091141
A little girl is looking at a woman in costume,child boy looking human clothing,0.22924243,0.46874205271402997
A young girl is looking at a woman in costume,young boy looking human clothing,0.2246086,0.5039422790209452
The little girl is looking at a man in costume,child boy looking man clothing,0.44002223,0.5350275953610738
A little girl in costume looks like a woman,child boy clothing seeing favorite human,0.27386415,0.3939736525217692
People wearing costumes are gathering in a forest and are looking in the same direction,person vest clothing gathering timber looking leadership,0.57679534,0.526569277048111
Masked people are looking in the same direction in a forest,concealing person looking leadership timber,0.6317586,0.4824528662781966
People wearing costumes are scattering in a forest and are looking in different directions,person vest clothing spread timber looking differ leadership,0.556972,0.5185082347496696
People are looking at some costumes gathered in the vicinity of the forest,person looking clothing gathering vicinity timber,0.61118615,0.5487516408874875
A lone biker is jumping in the air,person bike jump vapour,0.6312147,0.46369612216949463
"A biker is jumping in the air, alone",bike jump airplane person,0.64180154,0.5240021164600666
There is no biker jumping in the air,bike jump vapour,0.36810982,0.4898236592610677
A man is jumping into an empty swimming pool,man jump white swimming swimming,0.7313759,0.5176767025675092
A man is jumping into an empty pool,man jump white swimming,0.6681143,0.5346976121266683
A man is jumping into a full pool,man jump whole swimming,0.8761035,0.5755390922228495
The man's jumper is in the empty pool,human jump white swimming,0.3535445,0.5417640209197998
Four kids are doing backbends in the park,quarters child backlash stadium,0.33457088,0.4562782247861226
Four children are doing backbends in the park,quarters child backlash stadium,0.32358813,0.4677179574966431
Four children are doing backbends in the gym,quarters child backlash stadium,0.3472466,0.4859062631924947
Four girls are doing backbends and playing in the garden,quarters boy backlash performing plant,0.30446523,0.43916409876611495
Four girls are doing backbends and playing outdoors,quarters boy backlash performing exterior,0.14460959,0.4656888619065285
Four girls are doing backbends and playing indoors,quarters boy backlash performing inside,0.40109056,0.4745294600725174
A man who is playing is running with the ball in his hands,man performing running bottle hands,0.6999307,0.560821102725135
A player is running with the ball,player running bottle,0.8292719,0.5222703576087951
A player is throwing the ball,player shoot bottle,0.62144154,0.5052347315682305
Two groups of people are playing football,two team person performing stadium,0.5066999,0.4403512527545293
Two teams are competing in a football match,two team contestation stadium match,0.6888748,0.44074202861104694
Two teams are competing in a baseball game,two team contestation bison player,0.31909692,0.386404820283254
Football is being played by two competing teams,financier being player two contestation team,0.42811576,0.39875900745391846
Five children are standing in front of a wooden hut,felid child standing top timber mansion,0.48951095,0.440411322257098
Five children are standing in front of a hut made of wood,felid child standing top mansion fabricate timber,0.55665225,0.4317434373356047
Five children are standing in a wooden hut,felid child standing timber mansion,0.54877186,0.4248595450605665
Five wooden stands are in front of each child's hut,felid timber halt top child mansion,0.35631958,0.4519526582015188
Five kids are standing close together and one kid has a gun,felid child standing closing assemble person child handgun,0.5054215,0.37995244427160785
Five kids are standing close together and one kid has a weapon,felid child standing closing assemble person child handgun,0.40463865,0.38701097531752154
Five kids are standing close together and none of the kids has a gun,felid child standing closing assemble absence child handgun,0.4332767,0.40462571879227954
An old man is sitting in a field,senior man sit territory,0.62571347,0.5467156171798706
A man is sitting in a field,man sit territory,0.71787417,0.5526795387268066
A man is running in a field,man running territory,0.7820904,0.561546790599823
A person is wearing a hat and is sitting on the grass,person vest cover sit lumber,0.61580193,0.5218058658970727
A person is sitting in a field and is wearing a hat,person sit territory vest cover,0.74332595,0.5447673657361198
There is no person wearing a hat and sitting on the grass,person vest cover sit lumber,0.2721843,0.5091342131296793
A person is sitting and wearing a grass hat,person sit vest lumber cover,0.70153606,0.48211647272109986
The current is being ridden by a group of friends in a raft,current being ride team friend boat,0.7106262,0.6042597621679306
A group of friends are riding the current in a raft,team friend ride current boat,0.7534218,0.5778823383152485
A group is not riding the current in a raft,team ride current boat,0.36666512,0.5554469057491848
This group of people is practicing water safety and wearing preservers,team person performing watercolor safety vest saving,0.8122562,0.49303896176187617
Preservers are being worn by a group of people who are practicing water safety,saviour being garb team person performing watercolor safety,0.7624692,0.51772784948349
Nobody is practicing water safety and wearing preservers,person performing watercolor safety vest saving,0.26802295,0.4645665923754374
A deer is jumping over a fence,fox jump framework,0.47328833,0.5110584557056427
A deer is jumping over the enclosure,fox jump cover,0.5187803,0.545659339427948
A deer isn't jumping over the fence,fox jump framework,0.26146406,0.532630463441213
A wild deer is jumping a fence,beast fox jump framework,0.50860286,0.5118731206113641
A deer is jumping a fence,fox jump framework,0.48350137,0.5288226538234286
There is no deer jumping fences,fox jump framework,0.17000341,0.5264567553997039
People are walking outside a building that has many murals on it,person going exterior construction multiple mural,0.5728162,0.5418421030044556
People are walking outside the building that has several murals on it,person going exterior construction multiple mural,0.573476,0.5457195765093753
People are walking inside a building that has many murals on it,person going inside construction multiple mural,0.7717211,0.554268545226047
Several people are in front of a building which is covered by colors,multiple person top construction cover color,0.6391044,0.5262824265580428
Several people are in front of a colorful building,multiple person top color construction,0.56505793,0.47215539642742704
Nobody is in front of the colorful building,person top color construction,0.16237488,0.46000898877779645
A boy is hitting a baseball,boy beat bison,0.28603527,0.49790494441986083
A child is hitting a baseball,child beat bison,0.27300557,0.48353795409202577
A child is missing a baseball,child lack bison,0.69476855,0.4960444986820221
A family is watching a little boy who is hitting a baseball,family seeing child boy beat bison,0.43172714,0.5416949705073708
A family is watching a boy who is hitting a baseball,family seeing boy beat bison,0.4221787,0.5565655126291162
A family is watching a little boy who is missing a baseball,family seeing child boy lack bison,0.727744,0.5413521465502287
A little boy is watching a family that is hitting a baseball,child boy seeing family beat bison,0.4940989,0.5538095329937182
A large group of Asian people is eating at a restaurant,enlarge team ocean person eat restaurant,0.61942756,0.4147588743103875
A group of people from Asia is eating at a restaurant,team person ocean eat restaurant,0.73168564,0.5056644640862942
A small group of people is waiting to eat in a restaurant,child team person wait eat restaurant,0.7853316,0.5362681415345933
A group of people in a large Asian restaurant is eating,team person enlarge ocean restaurant eat,0.6194034,0.4287263916598426
Various people are eating at red tables in a crowded restaurant with purple lights,differ person eat brown tableware heap restaurant brown lightness,0.62661254,0.44483901739120485
Various customers are eating in a crowded restaurant with purple lights,differ consumer eat heap restaurant brown lightness,0.54726386,0.46518279063074214
Few people are eating at red tables in a restaurant without lights,person eat brown tableware restaurant absence lightness,0.7350004,0.45398547535850886
A purple crowd of people is eating on various red lit restaurant tables,brown heap person eat differ brown fire restaurant tableware,0.6849545,0.4416816338248875
A motorcycle rider is standing up on the seat of a white motorcycle,bike runner standing sit white bike,0.670952,0.5869064205571225
A motorcycle is riding standing up on the seat of the vehicle,bike ride standing sit automobile,0.6190889,0.5866232374135185
No motorcycle rider is standing up on the seat of a motorcycle,bike runner standing sit bike,0.4707862,0.5424125019241782
Someone is on a black and white motorcycle and is standing on the seat,person grey white bike standing sit,0.4974599,0.5620683372020722
A rider is on a black and white bike and is standing on the seat,runner grey white bike standing sit,0.55603266,0.603234052658081
Nobody is on a motorcycle and is standing on the seat,person bike standing sit,0.41127706,0.5378616929054261
A motorcyclist is riding a motorbike dangerously along a roadway,bike ride bike threaten way road,0.78692377,0.5822652124223255
A motorcyclist is riding a motorbike along a roadway,bike ride bike way road,0.84460247,0.5658013588852353
There is no motorcyclist riding a motorbike along a roadway,bike ride bike way road,0.4297588,0.5270562328790364
A man with a helmet painted red is riding a blue motorcycle down the road,man garb colouring brown ride grey bike road,0.7331216,0.49131287813186647
A motorcyclist with a red helmet is riding a blue motorcycle down the road,bike brown garb ride grey bike road,0.67421055,0.5280134504040083
A motorcyclist without a helmet is waiting on a blue motorcycle near the road,bike absence garb wait grey bike neighborhood road,0.65193975,0.5120745015144348
A dog is catching a stick in the air and another is watching,cat seizing pile vapour alter seeing,0.19562694,0.4387159063702538
A dog is leaping high in the air and another is watching,cat jump upper vapour alter seeing,0.25020087,0.46772419810295107
There is no dog leaping in the air,cat jump vapour,0.28709805,0.45953511733275193
Two dogs are playing by a tree,two cat performing timber,0.23270491,0.5048575401306152
Two dogs are playing by a plant,two cat performing plant,0.2593508,0.5152155377648093
Two dogs are sleeping by a tree,two cat bed timber,0.37181535,0.4799193902449174
A girl in white is dancing,boy white dancing,0.6200095,0.5467753807703654
A girl is wearing white clothes and is dancing,boy vest white clothing dancing,0.6178088,0.5104586780071259
There is no girl in white dancing,boy white dancing,0.32930756,0.5052298784255982
The dancer is dancing in front of the sound equipment,dancing dancing top hearing technology,0.83028907,0.5129294753074646
The blond girl is dancing in front of the sound equipment,brown boy dancing top hearing technology,0.50442076,0.5085527616388658
The blond girl is dancing behind the sound equipment,brown boy dancing aftermath hearing technology,0.51561034,0.4650462307035923
The equipment in front of the blond dancing girl is sound,technology top brown dancing boy hearing,0.4634989,0.5038191711201387
The children of a family are patiently playing and waiting,child family tolerate performing wait,0.8050429,0.5553076652919545
The children of a family are playing and waiting,child family performing wait,0.83788407,0.5713011897527255
There are no children playing and waiting,child performing wait,0.24258663,0.5213419020175933
Three Asian kids are dancing and a serious man is looking,two ocean child dancing seriousness man looking,0.7101077,0.4728260604958785
Three Asian kids are dancing and a man is looking,two ocean child dancing man looking,0.6895393,0.4961637333035469
Three Asian kids are dancing and there is no man looking,two ocean child dancing man looking,0.4876145,0.49261097697650685
An Asian man is dancing and three kids are looking,ocean man dancing two child looking,0.7368027,0.4914088062942028
A woman is wearing an Egyptian hat on her head,human vest archbishop cover header,0.3726907,0.37952180119121776
A woman is wearing an Egyptian headdress,human vest archbishop header,0.37452,0.38505602308682035
A woman is wearing an Indian headdress,human vest inside header,0.3940022,0.41283997396628064
An Egyptian is wearing a woman's headdress,archbishop vest human header,0.3139725,0.45711662247776985
The woman is wearing glasses and a black headdress,human vest glassware grey header,0.50088584,0.41854555904865265
The woman with a black hat is wearing sunglasses,human grey cover vest glassware,0.5260899,0.3878807544708252
The woman is not wearing glasses or a headdress,human vest glassware header,0.33475092,0.36288281679153445
The black woman is wearing glasses over the headdress,grey human vest glassware header,0.5094783,0.4545305483043194
A hiker is on top of the mountain and is doing a joyful dance,traveller top mountain joy dancing,0.82835716,0.6167069375514984
A hiker is on top of the mountain and is dancing,traveller top mountain dancing,0.87030363,0.594662655802334
There is no hiker dancing on top of the mountain,traveller dancing top mountain,0.50555134,0.5665263943374157
A man is on a rock high above some trees and is standing in an uncomfortable position,man rock upper timber standing incompetent location,0.7106657,0.4862570586027922
A man is on a rock high above some trees and is standing in a strange position,man rock upper timber standing surprise location,0.69181275,0.5404146735866865
There is no man on a rock high above some trees standing in a strange position,man rock upper timber standing surprise location,0.404725,0.5376162658567014
A cowgirl is riding a brown horse and is cornering a barrel,bovine ride brown cattle turning bottle,0.5977522,0.5954152494668961
A cowgirl is riding a horse and corners a barrel,bovine ride cattle quarters bottle,0.5320327,0.5466480143368244
A cowboy is riding a horse and cornering a barrel,bovine ride cattle turning bottle,0.6115826,0.564481608569622
A cowgirl is riding a barrel near a horse in the corner,bovine ride bottle neighborhood cattle coast,0.4680845,0.5555192671324077
The brown horse is very near a red barrel at the rodeo,brown cattle neighborhood brown bottle ride,0.6165649,0.4949768582979838
The brown horse is near a red barrel at the rodeo,brown cattle neighborhood brown bottle ride,0.6194484,0.4861480243065778
The brown horse is far from a red barrel at the rodeo,brown cattle long brown bottle ride,0.46795747,0.5097165670659807
A boy is standing in the cold water,boy standing coolness watercolor,0.63810086,0.5003900757202735
A boy is standing in the water,boy standing watercolor,0.83803654,0.559132742881775
A boy is standing outside the water,boy standing exterior watercolor,0.7843846,0.5039677890864286
The kid is swimming through the blue ocean,child swimming grey ocean,0.88758886,0.5591548283894857
The boy is wading through the blue ocean,boy swimming grey ocean,0.88246936,0.5787633244807904
The boy is sitting near the blue ocean,boy sit neighborhood grey ocean,0.829856,0.5287494430175195
A skilled man is playing a guitar on stage,skill man performing cigarette stage,0.5677768,0.5069666590009417
A man is playing a guitar on stage,man performing cigarette stage,0.62141824,0.5035600463549296
There is no man playing a guitar on stage,man performing cigarette stage,0.28929806,0.4952330543444707
A person has blonde and flyaway hair and is playing a guitar,person brown airplane hair performing cigarette,0.51838326,0.5207109451293945
A guitarist has blonde and flyaway hair,singer brown airplane hair,0.64294344,0.5104287167390188
A bald person is playing a guitar,chasten person performing cigarette,0.411141,0.46592725316683453
Several children are sitting down and have their knees raised,multiple child sit thigh upper,0.85890275,0.5496118466059366
Several children are lying down and are raising their knees,multiple child deception ascendency thigh,0.4481871,0.4406970938046773
Several children are standing up,multiple child standing,0.89880687,0.548471987247467
Two young girls are sitting on the ground,two young boy sit floor,0.44893944,0.5328902923143827
Two girls are sitting on the ground,two boy sit floor,0.4618209,0.5214425758882002
Two girls are lying on the ground,two boy deception floor,0.14805998,0.437598779797554
A nude lady is walking in front of many people in body paint,wet mother going top multiple person corporeality colouring,0.3061443,0.4643347677977189
A nude lady is walking in front of a crowd in body paint,wet mother going top heap corporeality colouring,0.32337156,0.4692306003787301
There is no lady walking in body paint in front of a crowd ,mother going corporeality colouring top heap,0.19967191,0.47453515018735615
A nude crowd in body paint is walking in front of a lady ,wet heap corporeality colouring going top mother,0.18184668,0.46792802485552704
"A young, topless woman is covered in paint",boy top human cover colouring,0.19374321,0.44850970059633255
A topless girl is covered in paint,top boy cover colouring,0.17388919,0.492066163283128
"An old, topless woman is covered in paint",senior top human cover colouring,0.25306153,0.4798672944307327
A group of people is near the ocean,team person neighborhood ocean,0.6587021,0.5188032190004984
A crowd of people is near the water,heap person neighborhood watercolor,0.41734296,0.47543735802173615
A crowd of people is far from the water,heap person long watercolor,0.29855293,0.5027383336654077
A group of children in uniforms is standing at a gate and one is kissing the mother,team child clothing standing gate person love mother,0.6149602,0.5512177118888268
A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,team child vest clothing wait gate person love mother,0.6156149,0.535889555300985
A group of children in uniforms is standing at a gate and there is no one kissing the mother,team child clothing standing gate person love mother,0.42641646,0.5661933315651757
A group of mothers in uniforms is standing near the children and one is kissing the gate,team mother clothing standing neighborhood child person love gate,0.7481073,0.5274663611694619
A man is in a parking lot and is playing tennis against a large wall,man stopover multiple performing tournament enlarge mural,0.51107454,0.39904607584079105
A lone man is in a parking lot and is playing tennis against a large wall,person man stopover multiple performing tournament enlarge mural,0.40258986,0.4231324860682854
A man is in a parking lot and is playing tennis against a friend,man stopover multiple performing tournament friend,0.52978903,0.46108260608854745
A man is pointing at a silver sedan,man point cash present,0.39234617,0.4791959921518962
A man is pointing at a car,man point car,0.91032386,0.5401937246322632
There is no man pointing at a car,man point car,0.3471529,0.5092139894312079
A group of people is on a beach,team person coast,0.5010208,0.5071276101199064
A group of people is near the sea,team person neighborhood ocean,0.63986194,0.4962041179339091
A group of people is on a mountain,team person mountain,0.6883648,0.5659874352541837
"A man, a woman and two girls are walking on the beach",human human two boy going coast,0.42388016,0.5134245000387493
Four people are walking on the beach,quarters person going coast,0.4304659,0.4663335680961609
"A man, a woman and two girls are sitting on the beach",human human two boy sit coast,0.49535882,0.5189077101255718
A schoolgirl with a black bag is on a crowded train,disciple grey package heap train,0.44499367,0.5421419599476982
A girl with a black bag is on a crowded train,boy grey package heap train,0.4476374,0.5126604065299034
There is no girl with a black bag on a crowded train,boy grey package heap train,0.3802262,0.5095096265568453
A cramped black train is on the bag of a girl,stifle grey train package boy,0.49519956,0.5386111453959816
An Asian woman in a crowd is carrying a black bag,ocean human heap carry grey package,0.40548533,0.46419354747323427
An Asian woman in in the midst of many people is carrying a black bag,ocean human centre multiple person carry grey package,0.52255905,0.48566216489543085
An Asian woman in a crowd is not carrying a black bag,ocean human heap carry grey package,0.29094598,0.4756436844666799
A dog is chasing another and is holding a stick in its mouth,cat looking alter seizing pile door,0.13011268,0.4561377286911011
A dog is chasing another and is holding a piece of wood in its mouth,cat looking alter seizing component timber door,0.28567535,0.4688701474148294
There is no dog chasing another or holding a stick in its mouth,cat looking alter seizing pile door,0.115296125,0.42888079285621644
A dog is chasing a stick and holding another dog in its mouth,cat looking pile seizing alter cat door,0.15106176,0.4395292231014797
Two dogs are running and carrying a toy in their mouths,two cat running carry player faeces,0.38569838,0.4954588632834585
Two dogs are running and carrying an object in their mouths,two cat running carry thing faeces,0.39872122,0.5177791463701349
There is no dog running and carrying an object in its mouth,cat running carry thing door,0.26238242,0.5303923172109267
A dirty soccer ball is rolling into a goal net,trash league bottle turning goal direct,0.5526663,0.47197793424129486
A soccer ball is rolling into a goal net,league bottle turning goal direct,0.63208926,0.4713505634239742
A soccer ball is not rolling into a goal net,league bottle turning goal direct,0.24587929,0.46232037941614784
A person who plays soccer is kicking a ball into the goal,person performing league kick bottle goal,0.701661,0.4977482987774743
A soccer player is kicking a ball into the goal,league player kick bottle goal,0.69344443,0.5058629035949707
A soccer player is kicking a ball out of the goal,league player kick bottle goal,0.68942165,0.5260934270918369
A man is resting on a chair and rubbing his eyes,man rest sit pillaging seeing,0.73896813,0.5291018320454491
A man is sitting on a chair and rubbing his eyes,man sit sit pillaging seeing,0.71577275,0.519037170542611
There is no man sitting on a chair and rubbing his eyes,man sit sit pillaging seeing,0.32514286,0.5129247527373465
A man with tattoos is lounging on a couch and holding a pencil,man trauma accommodation bed seizing manuscript,0.5707229,0.4841215979485285
A tattooed man is on a sofa and is holding a pencil,garb man bed seizing manuscript,0.583284,0.4828029692173004
A man with tattoos is lounging on a couch and is looking for a pencil,man trauma accommodation bed looking manuscript,0.7088212,0.5540543848817999
A man with tattoos is holding a couch with a pencil,man trauma seizing bed manuscript,0.52535975,0.49943948843899894
A brown and white dog is running through the tall grass,brown white cat running long lumber,0.4766497,0.5095522503058115
A brown and white dog is moving through the wild grass,brown white cat going beast lumber,0.27885348,0.5076830354001787
A brown and white dog is resting in the grass,brown white cat rest lumber,0.44608313,0.5108439400792122
A white and tan dog is running through the tall and green grass,white brown cat running long grey lumber,0.4138025,0.4984781373114813
A white and tan dog is running through a field,white brown cat running territory,0.4114521,0.5532588680585225
A black and tan dog is running through the low and green grass,grey brown cat running lower grey lumber,0.42468375,0.49159798168000723
A man with paint covered clothes is sitting outside in a busy area writing something,man colouring cover clothing sit exterior job region write thing,0.76517767,0.48047359860860384
A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,man vest clothing cover colouring sit exterior job region write thing,0.7706492,0.4975150488317013
There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,man vest clothing cover colouring sit exterior job region write thing,0.29684,0.48663637132355664
A sitting man is busy writing something in an area covered by paint,sit man job write thing region cover colouring,0.72631836,0.49420423670248553
A man is sitting near a bike and is writing a note,man sit neighborhood bike write remind,0.8465891,0.5710124207867516
A man is standing near a bike and is writing on a piece paper,man standing neighborhood bike write component paper,0.85542476,0.5535694701331002
There is no man writing a note near a bike,man write remind neighborhood bike,0.29416913,0.5535224835077922
A group of scouts are hiking through the grass,team investigator ride lumber,0.4302844,0.5162913163503011
A group of explorers are walking through the grass,team investigator going lumber,0.32118297,0.522378663221995
A group of scouts are camping in the grass,team investigator accommodation lumber,0.3318168,0.518983268737793
Some people are walking,person going,0.6854303,0.4620303511619568
People are walking,person going,0.7204047,0.4707679867744446
Some people are standing,person standing,0.9543632,0.4825868606567383
Two men are taking a break from a trip on a snowy road,two human carry break traveler wet road,0.44075507,0.5356266782397315
Two men are taking a break from a trip on a road covered by snow,two human carry break traveler road cover precipitation,0.5401324,0.47974291563034055
Two men are walking on a snowy road,two human going wet road,0.4574628,0.5238939821720123
Two men are breaking into a car during a trip on a snowy road,two human break car traveler wet road,0.68439627,0.5254933888261969
Two men are holding bikes and standing on the side of a road covered of snow,two human seizing bike standing page road cover precipitation,0.6693268,0.45646133380276815
Two men with bikes are on the side of a snowy road,two human bike page wet road,0.6060667,0.5309136070703205
Two men with cars are on the side of a snowy road,two human automobile page wet road,0.5655872,0.5168403700778359
Two men are holding fishing poles and fishing tackle,two human seizing fishing pile fishing treat,0.7199283,0.45726286313113046
Two men are holding fishing poles,two human seizing fishing pile,0.67757773,0.44479991992314655
Two men are not holding fishing poles,two human seizing fishing pile,0.26732555,0.45427977580290574
Two men are standing near the water and are holding fishing poles,two human standing neighborhood watercolor seizing fishing pile,0.71672267,0.46954699357350665
Two men are standing near the water and are holding tools used for fishing,two human standing neighborhood watercolor seizing hands utilisation fishing,0.7569891,0.47258030126492184
There is no man standing near the water and holding fishing poles,man standing neighborhood watercolor seizing fishing pile,0.37341917,0.4896974503993988
Two men are holding some water standing near fishing poles,two human seizing watercolor standing neighborhood fishing pile,0.68634814,0.43073167298969467
The helmeted girl is perching on a bike,garb boy ceding bike,0.4941912,0.49129147455096245
The girl with a helmet is perching on a bike,boy garb ceding bike,0.49836898,0.488455313093522
The helmeted girl is riding a bike,garb boy ride bike,0.6462585,0.4937434517420255
A woman is performing a trick on a ramp with a bicycle,human performing deception stairway bike,0.49629605,0.49299769966225876
A woman is jumping with a bicycle,human jump bike,0.7032892,0.5138396263122559
A woman is performing a trick on a ramp with a car,human performing deception stairway car,0.5739794,0.48205810157876267
A blonds girl is surfing,brown boy swimming,0.41732764,0.49002839459313285
A blond girl is riding the waves,brown boy ride quake,0.24195944,0.45246748129526776
A blond girl is looking at the waves,brown boy looking quake,0.16203752,0.47961920499801636
A blond girl waves while she is riding,brown boy quake ride,0.21615797,0.46180996986535877
A lady is surfing and riding a wave,mother swimming ride streak,0.68347716,0.49994706114133197
A woman is surfing,human swimming,0.5121201,0.4185586671034495
A boy is surfing and riding a wave,boy swimming ride streak,0.7900727,0.5435498853524526
Two children and an adult are standing next to a tree limb,two child senior standing future timber thigh,0.5831361,0.4856713801622391
Three people are standing next to a tree limb,two person standing future timber thigh,0.5924363,0.4654807969927788
Two children and an adult are not standing next to a tree limb,two child senior standing future timber thigh,0.24811815,0.5065517879667736
Two children are hanging on a large branch,two child concealing enlarge band,0.4072814,0.3844657316803932
Two children are climbing a tree,two child climb timber,0.8553764,0.5346753060817718
There is no child hanging on a large branch,child concealing enlarge band,0.17098466,0.40539683774113655
A man dressed in black is riding a bike,man clothing grey ride bike,0.8631206,0.5398961731365749
A man is performing a trick on a bike,man performing deception bike,0.848336,0.5631315623010907
There is no man dressed in black and riding a green bike,man clothing grey ride grey bike,0.5759772,0.5259973009427389
A black man in green is riding a bike,grey man grey ride bike,0.83663344,0.5433033279010228
A man is performing stunts on a green bicycle,man performing kick grey bike,0.71953595,0.5424709745815822
A man is performing a trick on a green bicycle,man performing deception grey bike,0.69377947,0.5342352390289307
There is no man performing a trick on a green bicycle,man performing deception grey bike,0.416808,0.5367673004374784
A boy is holding a squirt gun,boy seizing stifle handgun,0.8251327,0.47072684367497764
A child is holding a squirt gun,child seizing stifle handgun,0.8137683,0.46559412876764933
There is no child holding a squirt gun,child seizing stifle handgun,0.31541756,0.45750588551163673
A laughing child is holding a water gun and getting sprayed with water,humour child seizing watercolor handgun attain shot watercolor,0.6400248,0.4753844663500786
A child with a gun that sprays water is laughing and getting hit by other boys,child handgun douse watercolor humour attain beat boy,0.77012515,0.5091301048243487
There is no child holding a water gun or getting sprayed with water,child seizing watercolor handgun attain shot watercolor,0.23592286,0.4525081022925999
Two brown dogs are fighting over a red ball and are playing in the grass,two brown cat fighting brown bottle performing lumber,0.4984589,0.4902348741889
Two brown dogs are fighting over a red toy and are playing in the grass,two brown cat fighting brown player performing lumber,0.57744265,0.5068114524086317
There is no dog playing with a red ball,cat performing brown bottle,0.19137087,0.45475294956794154
Two daschunds are playing with a red ball,two dancing performing brown bottle,0.38528353,0.5018368283907573
